Number,Address,List Date,Price,Days on market,Total floor area,Year Built,Age,Lot Size
1,GRAVELEY STREET,5/8/2020,1500000,18,2447,1946,74,5674.0
2,E 28TH AVENUE,1/22/2020,1300000,7,2146,1982,38,3631.98
3,W 49TH AVENUE,6/18/2019,2650000,1,3108,1929,90,9111.0
4,TRIUMPH STREET,6/18/2019,1385000,28,2602,1922,97,4022.7
5,741-743 E 10TH AVENUE,11/28/2019,1590000,17,1843,1970,49,4026.0
6,W 21ST AVENUE,3/3/2020,2565000,7,2439,1989,31,4026.0
7,E 54TH AVENUE,8/12/2019,1303000,9,2100,1979,40,3298.48
8,E 57TH AVENUE,6/13/2019,1150000,10,1900,1950,69,6574.82
9,TRIMBLE STREET,8/16/2019,2500000,10,2133,2005,14,3360.0
10,E 60TH AVENUE,10/17/2019,2400000,44,3989,2019,0,4412.0
11,W 42ND AVENUE,10/24/2019,2870000,22,3509,1995,24,5859.0
12,INVERNESS STREET,9/23/2019,1355000,71,1902,1926,93,3196.85
13,FRENCH STREET,3/20/2019,1638000,168,2317,1988,31,3752.1
14,W 38TH AVENUE,5/25/2020,2880000,2,2286,1941,79,5808.0
15,E PENDER STREET,2/11/2020,1270000,1,3128,1910,110,5424.0
16,PERRY STREET,2/3/2020,1175000,25,1368,1948,72,3644.1
17,W 30TH AVENUE,10/30/2019,2725000,12,3222,1936,83,5676.75
18,E 28TH AVENUE,1/5/2020,1910000,37,3011,2020,0,3465.0
19,PRINCE ALBERT STREET,1/6/2020,1181000,60,1929,1923,97,3484.8
20,E 4TH AVENUE,3/23/2020,2489000,4,3452,2001,19,4550.0
21,COMMERCIAL STREET,8/7/2019,1480000,31,2373,1992,27,3877.5
22,RUPERT STREET,4/23/2019,1300000,108,2610,1971,48,4127.13
23,LARCH STREET,10/26/2019,2700000,65,2602,1925,95,6227.1
24,E 62ND AVENUE,2/3/2020,1300000,22,1920,1968,52,3267.0
25,E 23RD AVENUE,7/16/2019,2910000,7,3330,2019,0,4048.0
26,BONNYVALE AVENUE,5/28/2019,1498000,16,2150,1953,66,5607.1
27,ARGYLE STREET,3/28/2019,2240000,143,3612,2019,0,4108.5
28,WINDSOR STREET,3/16/2020,2275000,5,3316,1925,95,4026.0
29,E 27TH AVENUE,5/22/2019,1410000,22,3166,2019,0,3630.0
30,E 60TH AVENUE,5/1/2020,1240000,4,1600,1949,71,4082.34
31,W 24TH AVENUE,2/19/2020,2823000,59,2819,2010,10,4026.0
32,E 2ND AVENUE,6/17/2019,2175000,41,2729,1912,107,4026.0
33,E 13TH AVENUE,8/16/2019,1498000,2,1799,1949,70,4026.0
34,SHERBROOKE STREET,6/7/2019,1200000,75,1762,1954,65,4312.0
35,E 18TH AVENUE,7/3/2019,2015000,24,3119,2018,1,3630.0
36,GRANT STREET,4/2/2020,1610000,7,2951,1940,80,4356.0
37,E 63RD AVENUE,11/18/2019,1570000,17,2560,1959,60,5580.0
38,STEPHENS STREET,1/21/2020,1430000,86,1963,1911,109,2045.75
39,WILTSHIRE STREET,7/8/2019,2100000,2,2450,1956,63,6000.0
40,W 38TH AVENUE,4/20/2020,2898000,7,2792,1924,96,6525.0
41,JOYCE STREET,11/28/2018,1400000,308,2000,1949,70,6187.5
42,GATINEAU PLACE,11/12/2019,1677000,21,3036,1962,57,6033.0
43,PANDORA STREET,2/4/2020,1700000,36,2500,1984,36,4026.0
44,W 16TH AVENUE,7/3/2019,2800000,136,3095,1946,73,8871.25
45,QUEBEC STREET,6/11/2019,1600000,8,1122,1946,73,4121.0
46,E 28TH AVENUE,9/3/2019,1580000,3,2214,1914,105,4026.0
47,KNIGHT STREET,6/14/2019,967000,2,1958,1949,70,4026.0
48,CORNISH STREET,10/31/2019,2300000,2,3094,1996,23,5163.0
49,E 57TH AVENUE,7/16/2019,1650000,69,2362,2013,6,3388.0
50,E 13TH AVENUE,1/7/2020,1605000,6,2381,1912,108,4026.0
51,E 54TH AVENUE,4/3/2020,1175000,25,2256,1963,57,3874.0
52,DAWSON STREET,4/14/2020,2630000,20,4704,2013,7,5640.0
53,VICTORIA DRIVE,3/24/2020,1300000,6,2167,1926,94,4895.0
54,W 59TH AVENUE,7/25/2019,2320000,20,3189,1988,31,5280.0
55,ISABEL PLACE,10/9/2019,2390000,2,3320,2009,10,5827.0
56,W 21ST AVENUE,3/3/2020,2215000,6,2033,1928,92,4026.0
57,E 49TH AVENUE,8/27/2019,1370000,34,2628,1966,53,4635.87
58,INVERNESS STREET,3/2/2020,1915000,7,2805,1945,75,5194.0
59,ONTARIO STREET,4/27/2020,2028000,6,2300,1990,30,3700.0
60,E 27TH AVENUE,2/13/2020,1188000,4,2132,1927,93,3696.0
61,E 54TH AVENUE,7/2/2019,2333333,260,3311,2019,1,4026.0
